type,n,density,processes,threads,total_time,generation_time,comm_total,comm_dist,comm_aggr,computation_total,computation_sort,computation_mult,sum_check
CSR_apr_Hybrid,16384,0.15,16,2,131.979,3.390,49.529,0.901,48.628,79.061,4.788,74.272,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,90.940,3.009,9.010,0.507,8.502,78.922,3.126,75.796,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,91.534,3.002,6.817,0.489,6.329,81.715,2.690,79.025,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,91.426,3.082,8.096,0.578,7.519,80.247,3.413,76.834,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,117.464,3.086,12.570,0.523,12.047,101.809,4.136,97.673,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,140.439,3.368,28.084,0.510,27.574,108.987,3.602,105.385,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,142.003,3.331,47.898,1.008,46.890,90.773,4.227,86.546,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,124.236,3.257,19.030,0.513,18.517,101.948,3.872,98.077,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,141.764,3.273,55.789,0.506,55.283,82.703,3.284,79.418,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,161.443,3.021,58.254,0.506,57.748,100.168,2.307,97.861,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,2,523.673,2.827,4.517,0.505,4.012,516.329,3.953,512.376,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,2,525.485,2.822,8.072,0.508,7.564,514.591,3.946,510.645,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,2,525.159,2.904,35.600,0.878,34.722,486.655,4.823,481.832,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,2,529.118,2.854,5.327,0.563,4.764,520.937,4.374,516.563,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,2,532.000,2.813,16.628,0.509,16.120,512.559,3.920,508.639,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,2,577.893,3.706,5.716,0.801,4.915,568.471,3.181,565.290,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,2,523.922,2.916,5.986,0.508,5.478,515.020,3.943,511.077,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,2,836.730,3.178,5.168,1.042,4.125,828.384,5.197,823.187,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,2,584.145,3.705,11.698,0.789,10.909,568.741,2.990,565.751,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,2,524.903,2.817,4.854,0.500,4.354,517.231,4.831,512.400,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,51.630,2.621,8.876,0.417,8.459,40.133,2.090,38.043,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,72.254,2.619,30.436,0.413,30.023,39.200,2.228,36.971,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,51.963,2.613,8.325,0.426,7.898,41.025,3.257,37.768,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,50.862,2.607,8.472,0.408,8.064,39.784,2.091,37.692,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,62.924,2.651,21.054,0.408,20.646,39.218,2.160,37.058,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,49.394,3.025,8.183,0.402,7.781,38.186,1.901,36.285,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,63.744,3.065,11.741,0.631,11.110,48.937,2.418,46.519,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,57.771,2.920,9.644,0.558,9.085,45.207,2.132,43.075,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,129.125,2.841,50.323,0.550,49.773,75.961,2.695,73.266,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,110.655,2.855,32.566,0.789,31.777,75.235,2.909,72.325,2993442628723.000
CSR_apr_Hybrid,16384,0.15,4,2,271.899,3.104,11.868,0.574,11.294,256.927,3.364,253.563,2993442628723.000
