type,n,density,processes,threads,total_time,generation_time,comm_total,comm_dist,comm_aggr,computation_total,computation_sort,computation_mult,sum_check
CSR_apr_Hybrid,12995,0.15,16,2,45.227,1.888,3.461,0.317,3.144,39.878,1.285,38.593,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,48.609,1.876,4.587,0.348,4.239,42.145,1.264,40.882,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,48.210,1.893,3.314,0.310,3.004,43.003,2.317,40.687,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,64.863,2.093,4.250,0.319,3.930,58.520,1.267,57.253,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,46.146,1.884,3.596,0.310,3.285,40.666,1.279,39.387,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,75.433,2.113,4.433,0.330,4.103,68.886,3.083,65.804,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,42.028,1.594,2.578,0.311,2.267,37.856,2.102,35.753,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,57.867,1.863,4.713,0.352,4.361,51.292,1.270,50.021,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,46.845,1.891,3.677,0.400,3.277,41.277,2.277,39.000,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,72.590,2.083,4.271,0.323,3.948,66.236,1.270,64.966,1493498344163.000
CSR_apr_Hybrid,16384,0.15,16,4,64.363,2.756,7.047,0.424,6.623,54.559,3.180,51.379,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,56.221,2.536,6.104,0.535,5.570,47.580,2.346,45.234,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,56.058,2.914,5.024,0.496,4.528,48.120,2.915,45.205,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,50.719,2.533,5.922,0.483,5.439,42.264,2.794,39.470,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,62.331,3.240,10.550,0.749,9.801,48.542,3.949,44.592,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,70.123,2.740,7.492,0.409,7.083,59.891,3.231,56.660,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,55.573,2.540,6.547,0.429,6.118,46.486,2.816,43.670,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,59.249,3.209,7.814,0.708,7.105,48.227,3.221,45.005,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,62.294,3.245,10.123,0.745,9.378,48.926,3.941,44.985,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,76.430,2.728,8.104,0.422,7.682,65.597,2.889,62.709,2993442628723.000
CSR_apr_Hybrid,12995,0.15,2,16,67.311,1.756,3.601,0.371,3.229,61.954,0.675,61.279,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,51.704,1.776,2.213,0.303,1.910,47.714,0.668,47.047,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,54.313,1.915,3.286,0.488,2.798,49.112,0.673,48.438,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,69.393,1.916,3.594,0.560,3.035,63.883,0.681,63.202,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,52.505,1.773,2.330,0.329,2.001,48.402,0.603,47.800,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,62.804,1.990,3.334,0.576,2.757,57.481,0.742,56.739,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,66.776,1.766,3.428,0.434,2.994,61.583,0.739,60.844,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,69.280,1.820,3.570,0.449,3.121,63.890,0.728,63.162,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,68.234,1.998,3.439,0.495,2.945,62.797,0.781,62.015,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,65.105,1.769,2.303,0.373,1.929,61.034,0.741,60.293,1493498344163.000
CSR_apr_Hybrid,6497,0.15,2,2,34.070,0.439,0.563,0.093,0.470,33.067,0.775,32.293,186610241411.000
CSR_apr_Hybrid,6497,0.15,2,2,47.829,0.442,0.760,0.088,0.672,46.627,0.615,46.013,186610241411.000
CSR_apr_Hybrid,6497,0.15,2,2,32.983,0.449,0.563,0.080,0.483,31.970,0.589,31.382,186610241411.000
CSR_apr_Hybrid,6497,0.15,2,2,32.906,0.437,0.549,0.077,0.472,31.920,0.589,31.331,186610241411.000
CSR_apr_Hybrid,6497,0.15,2,2,34.436,0.438,0.801,0.108,0.693,33.197,0.568,32.629,186610241411.000
CSR_apr_Hybrid,6497,0.15,2,2,35.831,0.492,0.811,0.143,0.668,34.527,0.645,33.882,186610241411.000
CSR_apr_Hybrid,6497,0.15,2,2,33.926,0.444,0.746,0.093,0.653,32.736,0.638,32.098,186610241411.000
CSR_apr_Hybrid,6497,0.15,2,2,32.928,0.446,0.560,0.081,0.478,31.922,0.591,31.331,186610241411.000
CSR_apr_Hybrid,6497,0.15,2,2,32.975,0.489,0.577,0.084,0.493,31.909,0.645,31.264,186610241411.000
CSR_apr_Hybrid,6497,0.15,2,2,33.611,0.490,0.575,0.082,0.493,32.546,0.663,31.883,186610241411.000
