type,n,density,processes,threads,total_time,generation_time,comm_total,comm_dist,comm_aggr,computation_total,computation_sort,computation_mult,sum_check
COO_apd_Hybrid,16384,0.15,16,4,204.684,2.902,2.902,2.028,0.874,198.880,2.979,195.900,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,205.389,3.467,4.030,2.655,1.375,197.892,3.325,194.567,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,204.469,3.523,4.050,2.542,1.508,196.896,3.255,193.641,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,203.451,2.917,3.118,2.077,1.040,197.416,2.804,194.612,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,216.552,2.638,3.527,2.437,1.090,210.387,2.665,207.722,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,218.853,2.737,3.375,2.290,1.085,212.741,2.643,210.099,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,216.306,2.654,3.762,2.643,1.118,209.891,2.381,207.510,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,216.870,2.723,3.469,2.371,1.098,210.678,2.169,208.509,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,214.836,2.795,3.520,2.438,1.081,208.521,2.588,205.933,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,216.353,2.689,3.658,2.557,1.102,210.005,2.690,207.315,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,215.211,2.511,3.017,1.950,1.067,209.683,0.832,208.851,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,208.088,3.287,4.179,2.164,2.014,200.622,1.305,199.318,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,213.967,2.525,3.082,2.045,1.038,208.360,0.850,207.510,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,215.401,2.502,3.187,2.047,1.139,209.713,0.851,208.862,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,215.901,2.535,3.031,1.897,1.135,210.335,0.847,209.488,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,203.173,2.894,2.784,1.825,0.960,197.494,0.863,196.631,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,215.058,2.530,2.927,1.940,0.987,209.601,0.872,208.729,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,215.838,2.502,3.142,2.011,1.131,210.194,0.853,209.341,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,216.492,2.515,3.145,2.006,1.140,210.831,0.843,209.988,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,213.977,2.533,3.044,2.065,0.979,208.399,0.872,207.527,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,215.939,2.736,2.561,1.491,1.070,210.642,2.347,208.296,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,206.323,3.126,2.489,1.432,1.058,200.707,2.419,198.288,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,206.827,3.440,3.188,1.825,1.363,200.199,3.119,197.081,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,217.392,2.713,2.516,1.424,1.092,212.163,2.369,209.793,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,214.244,2.725,2.463,1.385,1.078,209.057,3.940,205.117,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,203.847,2.995,2.700,1.520,1.181,198.151,2.645,195.506,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,202.158,3.133,2.364,1.366,0.998,196.661,2.408,194.253,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,206.924,3.132,2.590,1.498,1.092,201.202,2.404,198.798,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,202.029,3.114,2.368,1.374,0.993,196.548,2.410,194.137,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,205.399,3.124,2.475,1.412,1.062,199.800,2.405,197.395,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,214.765,2.535,3.520,2.419,1.100,208.711,1.197,207.514,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,202.474,3.297,4.623,2.949,1.674,194.553,1.617,192.936,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,204.733,3.267,4.112,2.467,1.646,197.354,1.456,195.898,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,200.406,2.771,3.049,2.194,0.856,194.586,1.206,193.379,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,214.777,2.520,3.483,2.372,1.111,208.774,1.147,207.627,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,201.294,2.771,3.057,2.174,0.883,195.466,1.207,194.259,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,203.680,2.910,3.265,2.157,1.108,197.504,1.201,196.304,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,200.196,2.909,2.983,2.129,0.854,194.303,1.196,193.107,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,199.971,2.950,2.988,1.931,1.057,194.033,1.189,192.845,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,204.147,3.254,3.916,2.494,1.422,196.977,1.414,195.563,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,215.052,2.592,3.756,2.697,1.058,208.704,1.790,206.914,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,204.699,3.269,4.455,2.991,1.464,196.975,2.233,194.743,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,206.219,3.419,4.292,2.742,1.549,198.508,2.063,196.445,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,202.752,2.766,3.266,2.209,1.057,196.720,1.825,194.895,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,202.793,2.925,3.290,2.384,0.906,196.578,1.972,194.606,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,214.444,2.588,3.631,2.509,1.122,208.225,1.752,206.473,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,204.565,2.998,3.342,2.407,0.935,198.225,1.867,196.358,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,204.913,3.489,3.884,2.480,1.405,197.540,2.159,195.380,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,202.007,2.822,3.137,2.290,0.847,196.049,1.826,194.223,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,205.070,3.267,4.154,2.625,1.529,197.650,2.281,195.369,2993442628723.000
COO_apd_MPI,16384,0.15,64,1,211.323,3.257,2.769,1.519,1.250,205.297,16.030,189.267,2993442628723.000
COO_apd_MPI,16384,0.15,64,1,193.286,3.188,2.711,1.576,1.135,187.386,14.459,172.927,2993442628723.000
COO_apd_MPI,16384,0.15,64,1,209.238,3.152,2.725,1.499,1.226,203.361,15.489,187.872,2993442628723.000
COO_apd_MPI,16384,0.15,64,1,209.066,3.229,2.795,1.572,1.223,203.042,15.791,187.251,2993442628723.000
COO_apd_MPI,16384,0.15,64,1,193.437,3.524,3.436,1.979,1.457,186.477,16.033,170.444,2993442628723.000
COO_apd_MPI,16384,0.15,64,1,209.962,3.284,2.755,1.532,1.224,203.922,15.751,188.171,2993442628723.000
COO_apd_MPI,16384,0.15,64,1,212.109,3.296,2.794,1.540,1.254,206.019,15.943,190.076,2993442628723.000
COO_apd_MPI,16384,0.15,64,1,194.395,3.506,3.345,1.885,1.460,187.545,16.117,171.428,2993442628723.000
COO_apd_MPI,16384,0.15,64,1,192.769,3.138,2.783,1.569,1.214,186.848,14.711,172.136,2993442628723.000
COO_apd_MPI,16384,0.15,64,1,196.311,3.749,3.762,2.314,1.448,188.800,16.768,172.031,2993442628723.000
COO_apd_OpenMP,16384,0.15,1,64,216.991,2.525,0,0,0,214.467,0.714,213.752,2993442628723.000
COO_apd_OpenMP,16384,0.15,1,64,213.503,2.535,0,0,0,210.968,0.810,210.158,2993442628723.000
COO_apd_OpenMP,16384,0.15,1,64,201.638,2.845,0,0,0,198.793,0.741,198.052,2993442628723.000
COO_apd_OpenMP,16384,0.15,1,64,215.973,2.550,0,0,0,213.423,0.753,212.670,2993442628723.000
COO_apd_OpenMP,16384,0.15,1,64,214.971,2.611,0,0,0,212.360,0.726,211.634,2993442628723.000
COO_apd_OpenMP,16384,0.15,1,64,211.657,3.291,0,0,0,208.366,1.193,207.173,2993442628723.000
COO_apd_OpenMP,16384,0.15,1,64,225.609,2.847,0,0,0,222.762,0.735,222.027,2993442628723.000
COO_apd_OpenMP,16384,0.15,1,64,208.696,2.841,0,0,0,205.855,0.736,205.119,2993442628723.000
COO_apd_OpenMP,16384,0.15,1,64,205.738,3.155,0,0,0,202.583,1.221,201.362,2993442628723.000
COO_apd_OpenMP,16384,0.15,1,64,212.537,2.555,0,0,0,209.982,0.713,209.269,2993442628723.000
COO_apr_Hybrid,16384,0.15,16,4,62.015,3.055,8.655,2.688,5.967,50.305,4.153,46.153,2993442628723.000
COO_apr_Hybrid,16384,0.15,16,4,73.332,2.732,20.787,3.630,17.157,49.813,3.903,45.910,2993442628723.000
COO_apr_Hybrid,16384,0.15,16,4,70.672,2.929,12.983,2.983,10.000,54.760,4.188,50.571,2993442628723.000
COO_apr_Hybrid,16384,0.15,16,4,69.897,3.410,11.004,3.247,7.757,55.483,4.648,50.836,2993442628723.000
COO_apr_Hybrid,16384,0.15,16,4,111.935,3.106,14.256,3.335,10.921,94.573,3.884,90.690,2993442628723.000
COO_apr_Hybrid,16384,0.15,16,4,70.756,3.397,13.561,3.014,10.547,53.798,4.799,48.998,2993442628723.000
COO_apr_Hybrid,16384,0.15,16,4,100.463,3.142,29.671,2.841,26.830,67.650,4.185,63.466,2993442628723.000
COO_apr_Hybrid,16384,0.15,16,4,102.256,2.909,29.870,2.972,26.898,69.478,4.149,65.329,2993442628723.000
COO_apr_Hybrid,16384,0.15,16,4,100.714,2.899,41.347,3.524,37.824,56.468,4.228,52.240,2993442628723.000
COO_apr_Hybrid,16384,0.15,16,4,76.884,2.663,24.784,3.029,21.754,49.438,3.853,45.585,2993442628723.000
COO_apr_Hybrid,16384,0.15,2,32,67.561,2.566,5.998,3.495,2.503,58.996,0.694,58.303,2993442628723.000
COO_apr_Hybrid,16384,0.15,2,32,65.180,2.753,5.585,3.378,2.207,56.842,0.753,56.089,2993442628723.000
COO_apr_Hybrid,16384,0.15,2,32,63.035,2.538,6.184,3.533,2.651,54.314,0.637,53.677,2993442628723.000
COO_apr_Hybrid,16384,0.15,2,32,62.248,2.585,6.029,3.532,2.497,53.634,0.650,52.985,2993442628723.000
COO_apr_Hybrid,16384,0.15,2,32,63.926,2.881,7.149,3.510,3.639,53.895,0.725,53.170,2993442628723.000
COO_apr_Hybrid,16384,0.15,2,32,66.273,2.551,5.827,3.569,2.258,57.895,0.645,57.250,2993442628723.000
COO_apr_Hybrid,16384,0.15,2,32,74.582,3.176,14.784,4.439,10.345,56.622,0.938,55.684,2993442628723.000
COO_apr_Hybrid,16384,0.15,2,32,73.812,2.875,15.455,3.632,11.822,55.482,0.780,54.702,2993442628723.000
COO_apr_Hybrid,16384,0.15,2,32,65.364,2.559,8.353,3.506,4.847,54.452,0.695,53.758,2993442628723.000
COO_apr_Hybrid,16384,0.15,2,32,72.580,3.178,14.134,4.189,9.945,55.268,0.937,54.331,2993442628723.000
COO_apr_Hybrid,16384,0.15,32,2,93.369,3.447,34.833,1.485,33.348,55.090,7.695,47.395,2993442628723.000
COO_apr_Hybrid,16384,0.15,32,2,56.649,3.121,7.549,0.852,6.697,45.979,2.938,43.041,2993442628723.000
COO_apr_Hybrid,16384,0.15,32,2,60.687,2.800,9.277,1.021,8.256,48.610,3.109,45.501,2993442628723.000
COO_apr_Hybrid,16384,0.15,32,2,69.752,3.015,15.005,0.881,14.124,51.732,3.135,48.598,2993442628723.000
COO_apr_Hybrid,16384,0.15,32,2,73.996,3.502,17.746,1.279,16.467,52.748,3.712,49.036,2993442628723.000
COO_apr_Hybrid,16384,0.15,32,2,61.813,2.758,10.283,0.957,9.325,48.772,3.837,44.935,2993442628723.000
COO_apr_Hybrid,16384,0.15,32,2,56.665,3.188,7.828,0.892,6.936,45.649,2.945,42.704,2993442628723.000
COO_apr_Hybrid,16384,0.15,32,2,57.041,3.200,7.498,0.882,6.616,46.343,2.969,43.374,2993442628723.000
COO_apr_Hybrid,16384,0.15,32,2,57.276,3.219,7.958,0.891,7.066,46.099,2.985,43.114,2993442628723.000
COO_apr_Hybrid,16384,0.15,32,2,88.102,3.538,32.242,1.300,30.942,52.322,3.605,48.717,2993442628723.000
COO_apr_Hybrid,16384,0.15,4,16,66.533,2.768,14.823,4.025,10.797,48.942,1.321,47.621,2993442628723.000
COO_apr_Hybrid,16384,0.15,4,16,67.278,3.195,9.563,4.435,5.128,54.520,1.591,52.929,2993442628723.000
COO_apr_Hybrid,16384,0.15,4,16,60.418,3.176,9.258,4.363,4.895,47.984,1.596,46.388,2993442628723.000
COO_apr_Hybrid,16384,0.15,4,16,57.724,2.962,7.353,3.870,3.483,47.409,1.322,46.087,2993442628723.000
COO_apr_Hybrid,16384,0.15,4,16,64.948,3.160,12.161,4.414,7.747,49.627,1.450,48.177,2993442628723.000
COO_apr_Hybrid,16384,0.15,4,16,59.741,3.029,7.581,3.865,3.716,49.130,1.322,47.808,2993442628723.000
COO_apr_Hybrid,16384,0.15,4,16,65.550,2.891,16.338,3.988,12.351,46.321,1.343,44.979,2993442628723.000
COO_apr_Hybrid,16384,0.15,4,16,59.880,2.548,7.562,4.032,3.530,49.770,1.230,48.540,2993442628723.000
COO_apr_Hybrid,16384,0.15,4,16,55.969,2.959,8.330,3.911,4.419,44.680,1.316,43.363,2993442628723.000
COO_apr_Hybrid,16384,0.15,4,16,58.962,3.146,9.123,4.403,4.720,46.692,1.453,45.239,2993442628723.000
COO_apr_Hybrid,16384,0.15,8,8,78.238,2.922,9.372,4.212,5.161,65.944,2.549,63.394,2993442628723.000
COO_apr_Hybrid,16384,0.15,8,8,60.816,2.898,8.920,3.794,5.126,48.998,2.424,46.574,2993442628723.000
COO_apr_Hybrid,16384,0.15,8,8,61.451,2.918,8.830,3.904,4.926,49.703,2.415,47.289,2993442628723.000
COO_apr_Hybrid,16384,0.15,8,8,59.533,2.902,9.523,4.016,5.507,47.108,2.428,44.680,2993442628723.000
COO_apr_Hybrid,16384,0.15,8,8,66.170,2.561,10.446,4.005,6.442,53.163,2.237,50.926,2993442628723.000
COO_apr_Hybrid,16384,0.15,8,8,57.458,2.884,8.422,3.915,4.507,46.153,2.435,43.718,2993442628723.000
COO_apr_Hybrid,16384,0.15,8,8,61.378,2.587,8.877,3.924,4.953,49.914,2.243,47.671,2993442628723.000
COO_apr_Hybrid,16384,0.15,8,8,58.945,2.910,9.452,4.186,5.267,46.582,2.407,44.175,2993442628723.000
COO_apr_Hybrid,16384,0.15,8,8,61.387,2.939,7.751,3.838,3.913,50.697,2.413,48.285,2993442628723.000
COO_apr_Hybrid,16384,0.15,8,8,61.045,3.019,11.065,4.136,6.929,46.960,2.405,44.556,2993442628723.000
COO_apr_MPI,16384,0.15,64,1,67.415,3.210,10.354,0.659,9.696,53.851,15.622,38.229,2993442628723.000
COO_apr_MPI,16384,0.15,64,1,68.432,3.299,11.111,0.650,10.461,54.022,15.877,38.145,2993442628723.000
COO_apr_MPI,16384,0.15,64,1,70.708,3.266,13.281,0.649,12.632,54.161,15.818,38.343,2993442628723.000
COO_apr_MPI,16384,0.15,64,1,69.523,3.413,11.604,0.663,10.941,54.507,16.117,38.390,2993442628723.000
COO_apr_MPI,16384,0.15,64,1,74.646,3.346,14.640,0.642,13.998,56.660,14.922,41.739,2993442628723.000
COO_apr_MPI,16384,0.15,64,1,72.181,3.839,13.323,1.585,11.738,55.019,16.597,38.422,2993442628723.000
COO_apr_MPI,16384,0.15,64,1,72.887,3.090,13.784,0.651,13.133,56.013,14.341,41.672,2993442628723.000
COO_apr_MPI,16384,0.15,64,1,68.368,3.298,11.197,0.652,10.545,53.873,15.651,38.222,2993442628723.000
COO_apr_MPI,16384,0.15,64,1,68.380,3.209,10.901,0.658,10.243,54.270,15.945,38.325,2993442628723.000
COO_apr_MPI,16384,0.15,64,1,68.763,3.345,10.862,0.660,10.202,54.556,16.166,38.390,2993442628723.000
COO_apr_OpenMP,16384,0.15,1,64,57.258,2.532,0,0,0,54.726,0.459,54.267,2993442628723.000
COO_apr_OpenMP,16384,0.15,1,64,61.224,3.299,0,0,0,57.925,0.632,57.293,2993442628723.000
COO_apr_OpenMP,16384,0.15,1,64,55.291,2.902,0,0,0,52.389,0.445,51.944,2993442628723.000
COO_apr_OpenMP,16384,0.15,1,64,58.685,2.610,0,0,0,56.075,0.416,55.658,2993442628723.000
COO_apr_OpenMP,16384,0.15,1,64,57.275,2.542,0,0,0,54.733,0.484,54.249,2993442628723.000
COO_apr_OpenMP,16384,0.15,1,64,62.130,3.291,0,0,0,58.839,0.627,58.212,2993442628723.000
COO_apr_OpenMP,16384,0.15,1,64,57.235,2.533,0,0,0,54.702,0.426,54.276,2993442628723.000
COO_apr_OpenMP,16384,0.15,1,64,57.714,2.533,0,0,0,55.181,0.419,54.761,2993442628723.000
COO_apr_OpenMP,16384,0.15,1,64,59.019,2.537,0,0,0,56.482,0.422,56.060,2993442628723.000
COO_apr_OpenMP,16384,0.15,1,64,57.456,2.563,0,0,0,54.893,0.421,54.473,2993442628723.000
COO_spd_Hybrid,16384,0.15,16,4,200.723,3.417,3.545,2.193,1.352,193.762,4.785,188.977,2993442628723.000
COO_spd_Hybrid,16384,0.15,16,4,200.976,3.274,3.670,2.294,1.375,194.032,4.867,189.164,2993442628723.000
COO_spd_Hybrid,16384,0.15,16,4,202.203,3.476,3.804,2.360,1.444,194.923,5.135,189.788,2993442628723.000
COO_spd_Hybrid,16384,0.15,16,4,220.664,2.656,3.461,2.379,1.082,214.547,4.076,210.472,2993442628723.000
COO_spd_Hybrid,16384,0.15,16,4,202.571,3.007,3.202,2.044,1.158,196.362,4.720,191.642,2993442628723.000
COO_spd_Hybrid,16384,0.15,16,4,222.226,2.675,3.465,2.415,1.050,216.085,4.043,212.042,2993442628723.000
COO_spd_Hybrid,16384,0.15,16,4,201.530,3.015,3.203,2.157,1.046,195.313,4.982,190.331,2993442628723.000
COO_spd_Hybrid,16384,0.15,16,4,219.488,2.941,3.005,1.980,1.025,213.542,4.756,208.787,2993442628723.000
COO_spd_Hybrid,16384,0.15,16,4,202.062,3.023,3.207,2.177,1.030,195.832,4.857,190.975,2993442628723.000
COO_spd_Hybrid,16384,0.15,16,4,195.004,3.118,2.760,1.932,0.828,189.126,4.204,184.922,2993442628723.000
COO_spd_Hybrid,16384,0.15,2,32,237.657,2.930,2.588,1.638,0.950,232.139,0.924,231.215,2993442628723.000
COO_spd_Hybrid,16384,0.15,2,32,217.889,2.546,2.827,1.768,1.059,212.517,0.792,211.725,2993442628723.000
COO_spd_Hybrid,16384,0.15,2,32,227.776,2.902,2.743,1.646,1.097,222.130,0.821,221.309,2993442628723.000
COO_spd_Hybrid,16384,0.15,2,32,219.942,2.751,3.008,1.964,1.044,214.183,0.776,213.407,2993442628723.000
COO_spd_Hybrid,16384,0.15,2,32,219.664,2.531,2.828,1.887,0.942,214.304,0.786,213.518,2993442628723.000
COO_spd_Hybrid,16384,0.15,2,32,192.556,2.789,2.609,1.716,0.894,187.158,0.793,186.365,2993442628723.000
COO_spd_Hybrid,16384,0.15,2,32,193.515,3.080,2.581,1.727,0.854,187.854,0.817,187.037,2993442628723.000
COO_spd_Hybrid,16384,0.15,2,32,216.060,2.512,2.900,1.729,1.170,210.649,0.782,209.867,2993442628723.000
COO_spd_Hybrid,16384,0.15,2,32,220.044,2.516,2.965,1.815,1.150,214.563,0.775,213.788,2993442628723.000
COO_spd_Hybrid,16384,0.15,2,32,210.499,2.907,3.010,1.894,1.116,204.583,0.940,203.642,2993442628723.000
COO_spd_Hybrid,16384,0.15,32,2,205.246,3.664,3.423,1.979,1.444,198.159,4.082,194.076,2993442628723.000
COO_spd_Hybrid,16384,0.15,32,2,202.378,3.600,3.398,1.961,1.437,195.380,5.208,190.172,2993442628723.000
COO_spd_Hybrid,16384,0.15,32,2,200.290,3.481,3.090,1.755,1.335,193.719,4.046,189.673,2993442628723.000
COO_spd_Hybrid,16384,0.15,32,2,204.842,3.558,3.361,1.920,1.441,197.924,4.098,193.826,2993442628723.000
COO_spd_Hybrid,16384,0.15,32,2,198.915,3.156,2.533,1.462,1.071,193.226,3.735,189.491,2993442628723.000
COO_spd_Hybrid,16384,0.15,32,2,196.296,3.166,2.364,1.365,1.000,190.765,3.388,187.377,2993442628723.000
COO_spd_Hybrid,16384,0.15,32,2,206.399,3.161,2.837,1.671,1.165,200.401,3.841,196.560,2993442628723.000
COO_spd_Hybrid,16384,0.15,32,2,243.931,2.717,2.482,1.401,1.081,238.732,3.505,235.227,2993442628723.000
COO_spd_Hybrid,16384,0.15,32,2,201.610,3.318,3.300,2.169,1.131,194.991,3.830,191.161,2993442628723.000
COO_spd_Hybrid,16384,0.15,32,2,242.277,2.723,2.452,1.373,1.078,237.103,3.476,233.627,2993442628723.000
COO_spd_Hybrid,16384,0.15,4,16,198.639,3.304,4.174,2.669,1.504,191.162,1.585,189.577,2993442628723.000
COO_spd_Hybrid,16384,0.15,4,16,199.474,3.310,4.222,2.627,1.595,191.942,1.744,190.197,2993442628723.000
COO_spd_Hybrid,16384,0.15,4,16,220.299,2.530,3.298,2.182,1.116,214.471,1.305,213.166,2993442628723.000
COO_spd_Hybrid,16384,0.15,4,16,223.578,2.534,3.474,2.323,1.151,217.570,1.334,216.235,2993442628723.000
COO_spd_Hybrid,16384,0.15,4,16,197.834,2.911,3.302,2.256,1.046,191.620,1.497,190.123,2993442628723.000
COO_spd_Hybrid,16384,0.15,4,16,198.413,2.905,3.103,2.176,0.927,192.406,1.597,190.809,2993442628723.000
COO_spd_Hybrid,16384,0.15,4,16,222.838,2.691,3.502,2.339,1.163,216.645,1.328,215.317,2993442628723.000
COO_spd_Hybrid,16384,0.15,4,16,200.330,3.354,4.632,2.999,1.633,192.344,1.580,190.764,2993442628723.000
COO_spd_Hybrid,16384,0.15,4,16,198.706,2.914,3.342,2.120,1.222,192.449,1.424,191.025,2993442628723.000
