type,n,density,processes,threads,total_time,generation_time,comm_total,comm_dist,comm_aggr,computation_total,computation_sort,computation_mult,sum_check,nodes
COO_apr_Hybrid,16384,0.15,16,16,53.848,3.328,32.889,5.300,27.588,17.631,1.258,16.373,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,16,16,54.091,3.551,29.140,4.507,24.633,21.400,1.846,19.554,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,16,16,66.493,3.819,43.409,3.709,39.700,19.266,1.993,17.272,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,16,16,72.012,3.354,50.681,3.724,46.957,17.977,1.370,16.608,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,16,16,52.680,2.836,30.533,4.383,26.150,19.311,1.376,17.935,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,16,16,59.887,3.278,39.846,3.636,36.211,16.762,1.283,15.479,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,16,16,50.950,3.394,27.028,4.485,22.542,20.529,1.817,18.711,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,16,16,49.519,3.738,27.744,3.461,24.282,18.038,1.170,16.868,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,16,16,50.323,3.288,31.193,3.037,28.156,15.842,1.166,14.676,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,16,16,74.163,3.224,55.092,4.074,51.018,15.848,1.357,14.491,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,32,8,59.044,4.516,39.993,3.155,36.838,14.534,2.567,11.967,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,32,8,102.653,3.540,74.365,4.683,69.682,24.748,2.571,22.177,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,32,8,79.010,3.452,57.875,3.380,54.495,17.683,2.546,15.137,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,32,8,88.933,3.467,68.814,3.692,65.121,16.653,2.494,14.159,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,32,8,60.810,3.340,43.114,3.665,39.449,14.357,2.516,11.841,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,32,8,77.727,3.459,56.756,3.984,52.772,17.512,2.743,14.769,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,32,8,57.538,3.440,37.295,4.124,33.171,16.803,1.829,14.973,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,32,8,55.455,3.577,34.263,3.663,30.601,17.614,2.064,15.550,2993442628723.000,16
COO_apr_Hybrid,16384,0.15,32,8,71.116,3.215,47.255,4.002,43.253,20.647,2.523,18.124,2993442628723.000,16
