type,n,density,processes,threads,total_time,generation_time,comm_total,comm_dist,comm_aggr,computation_total,computation_sort,computation_mult,sum_check
CSR_apr_Hybrid,16384,0.15,16,2,143.291,3.542,61.358,1.129,60.229,78.390,5.115,73.275,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,170.188,3.711,90.777,0.923,89.853,75.700,2.656,73.044,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,190.960,3.161,90.968,0.942,90.026,96.831,3.787,93.043,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,188.643,3.915,86.237,1.007,85.230,98.490,7.145,91.346,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,201.126,3.724,112.402,0.976,111.426,85.001,4.689,80.312,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,138.555,3.203,53.359,1.197,52.162,81.993,3.875,78.118,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,139.639,3.412,60.821,1.606,59.215,75.406,2.223,73.183,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,171.230,3.712,67.715,0.990,66.725,99.803,5.027,94.775,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,188.361,3.390,110.337,1.555,108.782,74.634,2.321,72.313,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,2,176.794,3.159,90.192,0.938,89.254,83.443,5.103,78.340,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,109.342,3.218,66.939,1.196,65.743,39.186,3.119,36.066,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,84.646,3.252,19.160,0.987,18.173,62.234,3.296,58.938,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,109.868,3.007,21.039,1.064,19.975,85.822,3.709,82.113,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,86.087,3.714,18.022,1.046,16.976,64.351,5.166,59.185,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,88.654,2.671,40.104,0.805,39.298,45.880,3.391,42.489,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,113.051,2.970,55.601,0.942,54.659,54.479,2.815,51.664,2993442628723.000
