type,n,density,processes,threads,total_time,generation_time,comm_total,comm_dist,comm_aggr,computation_total,computation_sort,computation_mult,sum_check
CSR_apr_Hybrid,12995,0.15,16,2,66.807,2.160,7.175,0.623,6.553,57.471,3.627,53.845,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,62.412,2.194,6.685,0.626,6.059,53.533,1.769,51.765,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,72.738,2.315,7.778,0.911,6.867,62.645,1.740,60.905,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,61.879,2.203,6.956,0.808,6.148,52.720,2.528,50.192,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,68.186,2.246,6.796,0.694,6.102,59.144,1.729,57.415,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,60.464,2.189,6.603,0.624,5.979,51.672,2.186,49.486,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,73.556,2.299,6.020,0.789,5.231,65.237,1.599,63.638,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,64.678,2.117,6.477,0.623,5.854,56.084,3.983,52.102,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,62.138,2.016,8.127,0.763,7.364,51.996,2.169,49.827,1493498344163.000
CSR_apr_Hybrid,12995,0.15,16,2,72.237,2.015,8.349,0.823,7.526,61.873,1.708,60.165,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,61.462,2.285,4.044,0.803,3.241,55.132,0.891,54.241,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,60.070,2.157,4.975,1.306,3.670,52.937,0.829,52.108,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,98.188,2.064,5.266,0.763,4.503,90.858,0.728,90.130,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,75.017,2.187,4.184,1.293,2.891,68.647,0.991,67.656,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,62.292,2.461,4.182,1.146,3.035,55.649,0.863,54.787,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,69.191,2.229,3.945,0.833,3.111,63.017,1.008,62.009,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,86.057,2.320,4.486,0.983,3.503,79.251,0.726,78.525,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,57.298,2.285,4.030,0.907,3.123,50.983,0.911,50.073,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,99.820,2.113,4.978,1.461,3.517,92.729,0.708,92.021,1493498344163.000
CSR_apr_Hybrid,12995,0.15,2,16,72.854,2.131,4.442,0.780,3.662,66.280,0.814,65.467,1493498344163.000
CSR_apr_Hybrid,6497,0.15,2,2,39.419,0.587,0.973,0.190,0.784,37.859,0.350,37.509,186610241411.000
CSR_apr_Hybrid,6497,0.15,2,2,40.848,0.585,0.952,0.172,0.780,39.311,0.654,38.657,186610241411.000
CSR_apr_Hybrid,6497,0.15,2,2,88.483,0.555,0.942,0.159,0.783,86.986,0.736,86.250,186610241411.000
