type,n,density,processes,threads,total_time,generation_time,comm_total,comm_dist,comm_aggr,computation_total,computation_sort,computation_mult,sum_check
COO_apd_Hybrid,16384,0.15,16,4,219.819,3.045,14.746,3.006,11.740,202.029,3.340,198.688,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,203.143,3.492,5.944,2.488,3.455,193.707,3.154,190.553,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,230.504,2.901,5.732,2.208,3.523,221.872,3.431,218.440,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,199.327,3.494,5.771,2.827,2.944,190.062,3.662,186.400,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,196.815,3.027,3.354,2.126,1.228,190.434,3.196,187.238,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,231.133,3.287,4.210,2.767,1.443,223.636,3.370,220.267,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,226.501,3.406,4.905,3.153,1.751,218.191,3.022,215.169,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,200.738,3.552,7.931,2.742,5.189,189.255,3.369,185.886,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,229.832,3.190,4.368,2.519,1.850,222.273,3.867,218.406,2993442628723.000
COO_apd_Hybrid,16384,0.15,16,4,197.118,3.094,5.757,2.163,3.594,188.267,2.956,185.311,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,219.775,3.245,4.288,2.260,2.028,212.242,1.473,210.769,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,240.337,3.066,4.714,2.807,1.906,232.557,1.394,231.163,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,219.447,2.943,5.785,3.010,2.774,210.719,1.095,209.624,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,227.766,2.744,4.286,2.227,2.058,220.737,1.112,219.625,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,231.790,3.194,16.503,2.161,14.342,212.093,1.301,210.792,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,205.990,3.467,4.945,3.029,1.915,197.579,1.318,196.261,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,234.008,3.248,4.220,2.158,2.062,226.541,1.292,225.249,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,212.571,2.546,2.806,1.740,1.067,207.218,0.856,206.362,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,215.284,2.535,3.060,2.074,0.986,209.690,0.832,208.858,2993442628723.000
COO_apd_Hybrid,16384,0.15,2,32,218.119,2.930,5.897,3.003,2.894,209.292,1.059,208.233,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,201.435,3.555,5.558,1.892,3.666,192.322,3.061,189.260,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,228.843,3.487,22.896,2.355,20.541,202.460,3.646,198.814,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,214.564,3.496,10.635,1.761,8.874,200.432,3.095,197.337,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,199.899,3.446,6.159,1.795,4.364,190.294,3.048,187.246,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,228.652,3.516,7.550,2.328,5.222,217.586,3.720,213.866,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,222.470,3.505,4.262,2.718,1.544,214.704,5.631,209.073,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,228.467,3.465,22.141,2.502,19.638,202.861,3.722,199.138,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,203.551,3.504,10.800,1.820,8.980,189.247,3.080,186.166,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,221.741,3.124,18.785,2.108,16.677,199.832,3.201,196.631,2993442628723.000
COO_apd_Hybrid,16384,0.15,32,2,216.829,2.734,2.778,1.449,1.329,211.316,2.477,208.839,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,228.857,3.076,5.085,2.791,2.294,220.696,1.678,219.019,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,202.031,3.316,4.304,2.733,1.571,194.411,1.463,192.949,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,211.872,2.553,3.552,2.497,1.055,205.767,1.149,204.618,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,224.079,3.208,19.880,2.746,17.134,200.991,1.502,199.489,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,229.869,3.067,4.760,2.584,2.176,222.041,1.642,220.399,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,197.269,3.331,6.417,2.542,3.876,187.521,1.542,185.979,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,219.471,3.251,4.523,2.716,1.807,211.697,1.928,209.769,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,224.177,3.196,19.728,2.715,17.013,201.252,1.591,199.661,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,197.994,2.861,3.128,2.139,0.989,192.005,1.196,190.808,2993442628723.000
COO_apd_Hybrid,16384,0.15,4,16,214.059,2.522,13.791,2.413,11.378,197.746,1.146,196.600,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,200.176,3.444,8.057,2.628,5.430,188.675,2.283,186.391,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,202.681,3.215,9.665,3.109,6.556,189.801,2.339,187.462,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,225.701,3.197,20.892,3.374,17.518,201.611,2.321,199.290,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,204.054,3.322,4.055,2.639,1.415,196.677,2.091,194.586,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,225.793,3.202,21.580,2.947,18.633,201.010,2.015,198.995,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,229.416,3.059,4.813,2.815,1.999,221.543,2.553,218.990,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,226.103,3.262,22.643,2.860,19.783,200.198,1.859,198.339,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,212.100,3.296,17.763,2.911,14.852,191.041,2.436,188.605,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,206.788,3.468,4.343,2.903,1.440,198.978,2.267,196.711,2993442628723.000
COO_apd_Hybrid,16384,0.15,8,8,220.459,3.242,4.548,2.911,1.636,212.670,2.896,209.774,2993442628723.000
COO_apd_MPI,16384,0.15,64,1,210.284,3.742,3.394,1.937,1.456,203.149,16.610,186.538,2993442628723.000
COO_apd_MPI,16384,0.15,64,1,210.138,3.735,8.490,2.278,6.212,197.913,16.351,181.563,2993442628723.000
COO_apd_MPI,16384,0.15,64,1,209.529,3.584,4.839,1.925,2.914,201.105,16.441,184.665,2993442628723.000
COO_apd_MPI,16384,0.15,64,1,208.530,3.707,3.378,1.894,1.484,201.445,16.613,184.832,2993442628723.000
